,Customer_ID,prediccion,%_proba
1270,411975,1.0,0.7729404906944175
1277,414209,1.0,0.5806859959019915
1281,414951,1.0,0.9376985729420699
1294,420310,1.0,0.9363106729327296
1302,422761,1.0,0.6423344764949599
1321,428589,1.0,0.8179191077309125
1325,429591,1.0,0.6682750924712652
1339,433693,1.0,0.7843383918606875
1346,436099,1.0,0.6857395619881987
1366,443299,1.0,0.8875677490243489
1375,445586,1.0,0.5819266717337469
1385,449843,1.0,0.8627029979098114
1402,454294,1.0,0.5501454694514746
1404,454675,1.0,0.5717323380023454
1405,455178,1.0,0.8478703031532562
1435,464248,1.0,0.781980214407922
1448,469575,1.0,0.7162669513547034
1454,470616,1.0,0.8507030446550258
1468,474851,1.0,0.5743195375876777
1471,475608,1.0,0.8919603843880939
1499,486432,1.0,0.681989504310419
1540,495654,1.0,0.6898271147855849
1555,498374,1.0,0.5687081662169006
1562,499519,1.0,0.9672786735155768
1571,502038,1.0,0.7452126105666668
1580,504911,1.0,0.7070573887137764
1583,505585,1.0,0.801607960291445
1585,505788,1.0,0.6116223713759885
1599,509717,1.0,0.5247128383652688
1602,510289,1.0,0.5566009493622892
1616,513508,1.0,0.7883026895308343
1644,520677,1.0,0.8103175746231819
1649,522331,1.0,0.7223626381959349
1654,523748,1.0,0.6120396255461227
1664,526015,1.0,0.578513330689203
1665,526060,1.0,0.7964862778372251
1666,526294,1.0,0.9657866128961333
1667,527796,1.0,0.5418883444370581
1668,527860,1.0,0.8338636485988875
1693,533823,1.0,0.5950654083306071
1695,534337,1.0,0.5002165086101019
1703,536169,1.0,0.6746704530664284
1758,550960,1.0,0.505442637990626
1773,552625,1.0,0.8000873880134197
1778,553941,1.0,0.6574772922487488
1790,556218,1.0,0.5406275136552234
1792,556543,1.0,0.8623925939472807
1806,560399,1.0,0.636865587268545
1825,565459,1.0,0.5556978280113581
1836,572245,1.0,0.6287286945242415
1842,574212,1.0,0.8069110998169139
1847,575374,1.0,0.5464847001452352
1848,575673,1.0,0.8082279287483132
1849,575715,1.0,0.6738641746244083
1869,578326,1.0,0.6966360123115583
1877,581292,1.0,0.7566715333862282
1879,581332,1.0,0.7163724086481269
1923,593817,1.0,0.6710314359601917
1938,597778,1.0,0.9006536107589885
1946,600525,1.0,0.777012773256352
1959,602910,1.0,0.89022871383035
1961,603198,1.0,0.8341311133706585
1979,606571,1.0,0.5612848346650957
2003,611428,1.0,0.7056840161728657
2007,613582,1.0,0.6481866611599564
2018,615239,1.0,0.5535119202712231
2036,620923,1.0,0.6334805898031495
2067,626474,1.0,0.8484077077031078
2073,627278,1.0,0.5154474414526481
2082,631189,1.0,0.5062582917660071
2115,641082,1.0,0.518756091695337
2123,643263,1.0,0.5293555775134461
2128,644390,1.0,0.6661697734965537
2139,647070,1.0,0.5141218619552956
2141,647775,1.0,0.7907097492974687
2148,649919,1.0,0.9521461336111824
2160,654647,1.0,0.7458179268311814
2162,655682,1.0,0.8413168344997541
2164,656163,1.0,0.7389661345540064
2170,657336,1.0,0.6142123215604859
2177,660317,1.0,0.6550368667156014
2188,664089,1.0,0.7247279950017238
2198,666249,1.0,0.543402063454514
2211,671445,1.0,0.8178874342646095
2227,676016,1.0,0.9498306932032705
2238,678711,1.0,0.7598564801589226
2249,679895,1.0,0.757538777144288
2273,684889,1.0,0.5361553311928043
2286,688656,1.0,0.8215806671758155
2310,694191,1.0,0.7107413386674759
2331,700221,1.0,0.6193793550542628
2332,700371,1.0,0.6765553210204527
2340,703089,1.0,0.6028481892312015
2378,717769,1.0,0.6515102868169698
2379,718182,1.0,0.5075135156075035
2381,720560,1.0,0.871036329012259
2405,726941,1.0,0.9110740560557956
2424,733808,1.0,0.618547973597597
2443,741687,1.0,0.5339162926257428
2459,744920,1.0,0.5428328763519519
2468,747669,1.0,0.8761002837436698
